move,score,layer_moves,layer_scores
Ne7,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bg4,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Nd7,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Qd7,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Qf6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Qd6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Qg5,0,"['Nxg5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Qd3', 'Qe2+', 'Qd2', 'Bxg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[-9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Qh4,0,"['Ng5', 'Ne5', 'Nxh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'g4', 'c4', 'b4', 'a4']","[0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Be6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kd7,0,"['Ng5', 'Ne5+', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Qe7+,0,"['Kd2', 'Ne5', 'Be2', 'Qe2', 'Be3']","[0, 0, 0, 0, 0]"
Na6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Bxa6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
g6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
c6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Bxa6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
g5,0,"['Nxg5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bxg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
c5,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'dxc5', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ke7,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5+', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bf5,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bh3,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'gxh3', 'g3', 'c3', 'b3', 'a3', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0]"
Nh6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bxh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bb4+,0,"['Ke2', 'Nfd2', 'Qd2', 'Bd2', 'Nc3', 'Nbd2', 'c3']","[0, 0, 0, 0, 0, 0, 0]"
Bc5,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'dxc5', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bd6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Be7,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Nf6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bd7,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ba3,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Nxa3', 'Nbd2', 'bxa3', 'h3', 'g3', 'c3', 'b3', 'h4', 'g4', 'c4', 'b4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0]"
b5,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Bxb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Nc6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
h6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bxh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
f6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
b6,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
h5,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
f5,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a5,0,"['Ng5', 'Ne5', 'Nh4', 'Nfd2', 'Ng1', 'Rg1', 'Ba6', 'Bb5+', 'Bc4', 'Bd3', 'Be2', 'Ke2', 'Kd2', 'Qd3', 'Qe2+', 'Qd2', 'Bh6', 'Bg5', 'Bf4', 'Be3', 'Bd2', 'Nc3', 'Na3', 'Nbd2', 'h3', 'g3', 'c3', 'b3', 'a3', 'h4', 'g4', 'c4', 'b4', 'a4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
