verse_title,date,score,matches_woodruff,matches_scriptures
Doctrine and Covenants 84:118,"February 26, 1879 ",1.0,for with you saith the Lord Almighty I will rend,For with you saith the Lord Almighty I will rend
Doctrine and Covenants 27:9,"January 13, 1856 ",1.0,to the children and the hearts of the children to,to the children and the hearts of the children to
Doctrine and Covenants 29:5,"October 6, 1891 ",0.99478,in your midst I am your advocate with the Father,in your midst and am your advocate with the Father
Doctrine and Covenants 136:25,"January 21, 1847 ",0.98572,thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and if thou canst not repay then go straitway and tell thy neighbor lest he condemn thee If thou shalt find that which thy neighbor has lost thou shalt make diligent search till thou shalt deliver it to him again Thou shall be diligent in preserving what thou hast that thou mayest be a wise steward for,If thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and if thou canst not repay then go straightway and tell thy neighbor lest he condemn thee If thou shalt find that which thy neighbor has lost thou shalt make diligent search till thou shalt deliver it to him again Thou shalt be diligent in preserving what thou hast that thou mayest be a wise steward for it is the
Doctrine and Covenants 29:5,"September 15, 1884 ",0.9856,your midst I am your Advocate with the Father I,in your midst and am your advocate with the Father
Doctrine and Covenants 110:15,"January 21, 1844 ",0.98207,turn the hearts of the fathers to the children and,To turn the hearts of the fathers to the children
Doctrine and Covenants 110:15,"March 10, 1844 ",0.98207,turn the hearts of the Fathers to the children and,To turn the hearts of the fathers to the children
Doctrine and Covenants 68:25,"July 2, 1840 ",0.96448,the gift of the Holy Ghost by the laying on,and the gift of the Holy Ghost by the laying
Doctrine and Covenants 98:16,"January 21, 1844 ",0.95619,turn the hearts of the fathers to the children and,turn the hearts of the children to their fathers and the hearts of the fathers to the children
Doctrine and Covenants 98:16,"March 10, 1844 ",0.95619,turn the hearts of the Fathers to the children and,turn the hearts of the children to their fathers and the hearts of the fathers to the children
Doctrine and Covenants 136:8,"January 21, 1847 ",0.95441,Let each company bear an equal proportion according to the dividend of their property in taking the poor the widows the fatherless and the families of those who have gone into the armey that the cries of the widow and the Fatherless come not up into the ears of the,Let each company bear an equal proportion according to the dividend of their property in taking the poor the widows the fatherless and the families of those who have gone into the army that the cries of the widow and the fatherless come not up into the ears of the Lord against this people
Doctrine and Covenants 68:25,"April 30, 1843 ",0.95033,gift of the Holy Ghost by the laying on of,and the gift of the Holy Ghost by the laying
Doctrine and Covenants 121:36,"September 15, 1884 ",0.94173,that the rights of the Priesthood are inseparably connected with the Powers of heavens and that the powers of heaven cannot be controlled nor handled only upon the principles of,That the rights of the priesthood are inseparably connected with the powers of heaven and that the powers of heaven cannot be controlled nor handled only upon the principles of righteousness
Doctrine and Covenants 88:2,"January 1, 1877 ",0.93421,into the Ears of the Lord of Sabaoth and be,up into the ears of the Lord of Sabaoth and
Doctrine and Covenants 98:2,"January 1, 1877 ",0.93345,into the Ears of the Lord of Sabaoth and be,into the ears of the Lord of Sabaoth and are
Doctrine and Covenants 136:10,"January 21, 1847 ",0.93277,where the Lord shall locate a stake of Zion And if ye do this with a pure heart in all faithfulness ye shall be blessed you shall be blessed in your flocks and in your herds and in your fields,remove this people to the place where the Lord shall locate a stake of Zion And if ye do this with a pure heart in all faithfulness ye shall be blessed you shall be blessed in your flocks and in your herds and in your fields and in your houses and in your families
Doctrine and Covenants 136:17,"January 21, 1847 ",0.92942,way and do as I have told you and fear not thine enemies for they shall not have power to stop my work Zion shall be redeemed in mine own,Go thy way and do as I have told you and fear not thine enemies for they shall not have power to stop my work Zion shall be redeemed in mine own due time
Doctrine and Covenants 136:36,"January 21, 1847 ",0.92899,they killed the prophets and they that were sent unto them and they have shed innocent blood which crieth from the ground against them Therefore marvel not at these things,For they killed the prophets and them that were sent unto them and they have shed innocent blood which crieth from the ground against them Therefore marvel not at these things for ye are not
Doctrine and Covenants 1:38,"August 27, 1885 ",0.91248,Earth Pass away my words shall not pass away but,earth pass away my word shall not pass away but
Doctrine and Covenants 105:15,"April 4, 1896 ",0.91211,and waste ^away^ mine enemies and not many years hence they shall not be left to pollute my heritage The,lay waste mine enemies and not many years hence they shall not be left to pollute mine heritage and to
Doctrine and Covenants 135:6,"September 5, 1841 ",0.90825,Bible Book of Mormon and book of Doctrine and Covenants,Book of Mormon and this book of Doctrine and Covenants
Doctrine and Covenants 136:41,"January 21, 1847 ",0.90422,and ye Elders listen together you have received my kingdom be diligent in keeping all my commandments lest judgment come upon you and your faith fail you and your enemies triumph over you So no more at present Amen and Amen,Now therefore hearken O ye people of my church and ye elders listen together you have received my kingdom Be diligent in keeping all my commandments lest judgments come upon you and your faith fail you and your enemies triumph over you So no more at present Amen and Amen
Doctrine and Covenants 98:16,"March 10, 1844 ",0.89609,hearts of the Fathers to the Children and the hearts,turn the hearts of the children to their fathers and the hearts of the fathers to the children
Doctrine and Covenants 107:55,"February 12, 1862 ",0.89287,"shall come of thee and thou art a prince over them forever"" ""And Adam stood up in the midst of the congregation and Notwithstanding he was bowed down with age being full of the Holy Ghost predicted whatsoever should befall",a multitude of nations shall come of thee and thou art a prince over them forever And Adam stood up in the midst of the congregation and notwithstanding he was bowed down with age being full of the Holy Ghost predicted whatsoever should befall his posterity unto the latest generation
Doctrine and Covenants 136:15,"January 21, 1847 ",0.89001,Captains of hundreds and of fifties and of tens And let my servants that have been appointed go and teach,And appoint presidents and captains of hundreds and of fifties and of tens And let my servants that have been appointed go and
Doctrine and Covenants 136:3,"April 16, 1847 ",0.88865,4 Captains of fifties and Captains of tens I was,of fifties and captains of tens with a president and
Doctrine and Covenants 101:90,"January 1, 1858 ",0.88441,stewards and appoint them their portion with hypocrites and unbelievers,unjust stewards and appoint them their portion among hypocrites and unbelievers
Doctrine and Covenants 107:54,"February 12, 1862 ",0.8839,him the Prince Michael the Archangel and the Lord administered comfort unto Adam and said unto him I have set,and blessed Adam and called him Michael the prince the archangel And the Lord administered comfort unto Adam and said unto
Doctrine and Covenants 128:10,"January 22, 1843 ",0.88382,this rock I will build my Church and the gates of hell shall not prevail against it what rock Revelation,this rock I will build my church and the gates of hell shall not prevail against it And I will
Doctrine and Covenants 43:24,"June 11, 1843 ",0.88273,hen gathereth her chickens under wings But ye would not,have gathered you together as a hen gathereth her chickens under her wings but ye would not!
Doctrine and Covenants 1:30,"February 26, 1879 ",0.88081,only true and living Church upon the face of the,darkness the only true and living church upon the face
Doctrine and Covenants 128:18,"April 9, 1852 ",0.8755,they without us could not be made perfect Neither can,neither can they without us be made perfect Neither can
Doctrine and Covenants 68:8,"December 31, 1860 ",0.87359,to go into all the world to preach the gospel,Go ye into all the world preach the gospel to
Doctrine and Covenants 128:8,"March 17, 1857 ",0.87125,we record on Earth shall be recorded in heaven and,not record on earth shall not be recorded in heaven
Doctrine and Covenants 136:3,"January 21, 1847 ",0.86655,Captains of hundreds and of fifties and of tens And,of fifties and captains of tens with a president and
Doctrine and Covenants 136:12,"January 21, 1847 ",0.86246,servants Ezra Taft Benson and Erastus Snow organize a company,Let my servants Ezra T Benson and Erastus Snow organize a company
Doctrine and Covenants 136:23,"January 21, 1847 ",0.85708,another Cease to speak evil one of another Cease drunkenness,Cease to contend one with another cease to speak evil one of another
Doctrine and Covenants 55:2,"April 2, 1886 ",0.85433,the Name of Jesus Christ the Son of the Living God,way of baptism in the name of Jesus Christ the Son of the living God
Doctrine and Covenants 128:17,"January 13, 1856 ",0.85427,"verses ""Behold I will send you Elijah the prophet before the coming of the great and Dreadful day of the Lord"" ""And He shall turn the Hearts of the Fathers",I will send you Elijah the prophet before the coming of the great and dreadful day of the Lord And he shall turn the heart of the fathers to the
Doctrine and Covenants 136:1,"January 21, 1847 ",0.85208,the Lord concerning the camp of Israel In their journeyings,The Word and Will of the Lord concerning the Camp of Israel in their journeyings to the West
Doctrine and Covenants 29:45,"January 20, 1872 ",0.84833,men love darkness rather than light because their deeds are,For they love darkness rather than light and their deeds
Doctrine and Covenants 135:6,"August 13, 1857 ",0.84728,of Mormon The Book of Doctrine and Covenants The Latter,Book of Mormon and this book of Doctrine and Covenants
Doctrine and Covenants 72:3,"December 12, 1855 ",0.84523,hand of God is it required at the hand of,it is required of the Lord at the hand of
Doctrine and Covenants 43:26,"March 14, 1885 ",0.84388,the cup of the wrath of mine indignation is full,Behold the day has come when the cup of the wrath of mine indignation is full
Doctrine and Covenants 130:12,"December 31, 1849 ",0.84209,has And I Prophesy in the name of the Lord,I prophesy in the name of the Lord God that
Doctrine and Covenants 136:33,"January 21, 1847 ",0.83975,and contrite and to the condemnation of the ungodly Thy brethren have rejected you and your testimony even the Nation,enlighten the humble and contrite and to the condemnation of the ungodly Thy brethren have rejected you and your testimony even the nation that has driven you out
Doctrine and Covenants 38:39,"October 21, 1855 ",0.83699,to beware of pride lest we become like the Nephites,beware of pride lest ye become as the Nephites of old
Doctrine and Covenants 103:27,"March 14, 1885 ",0.83663,in the Evening 4 Man be afraid to lay down his life for my sake for He that layeth down,Let no man be afraid to lay down his life for my sake for whoso layeth down his life for my sake shall find it again
Doctrine and Covenants 103:27,"April 19, 1893 ",0.83597,he that layeth down his life for my sake shall,for my sake for whoso layeth down his life for my sake shall find it again
Doctrine and Covenants 98:16,"March 10, 1844 ",0.83548,fathers unto the Children and the hearts of the children,turn the hearts of the children to their fathers and the hearts of the fathers to the children
Doctrine and Covenants 107:6,"January 16, 1881 ",0.83405,keys of the Aaronic priesthood and Melchizedek Priesthood for the,Melchizedek Priesthood and the other is the Aaronic or Levitical Priesthood
Doctrine and Covenants 136:39,"January 21, 1847 ",0.83332,blood that he might be honored and the wicked might,that he might be honored and the wicked might be condemned
Doctrine and Covenants 133:56,"November 21, 1847 ",0.83329,that the graves of the Saints would be opened and,And the graves of the saints shall be opened and
Doctrine and Covenants 112:14,"July 9, 1884 ",0.82991,unto you And what I the Lord say unto you,Now I say unto you and what I say unto
Doctrine and Covenants 135:6,"April 7, 1898 ",0.82924,of the Book of Doctrine and Covenants and I then,Book of Mormon and this book of Doctrine and Covenants
Doctrine and Covenants 68:6,"January 1, 1877 ",0.82884,of Jesus Christ the son of the living God that,Christ that I am the Son of the living God
Doctrine and Covenants 88:92,"February 26, 1879 ",0.82779,prepare yourselves O ye inhabitants of the Earth for the,Prepare ye prepare ye O inhabitants of the earth for
Doctrine and Covenants 128:21,"September 13, 1846 ",0.82553,an Apostle said we have precept upon precept line upon,line precept upon precept here a little and there a
Doctrine and Covenants 68:9,"September 7, 1851 ",0.82429,great a Prophet and he that believeth it may be saved and he that believeth it not will be damned,And he that believeth and is baptized shall be saved and he that believeth not shall be damned
Doctrine and Covenants 58:45,"December 20, 1850 ",0.8212,push the people together to the Ends of the Earth,For behold they shall push the people together from the ends of the earth
Doctrine and Covenants 64:10,"January 4, 1852 ",0.82103,cannot if the Lord will forgive you I will forgive,I the Lord will forgive whom I will forgive but of you it is required to forgive all men
Doctrine and Covenants 89:20,"February 2, 1851 ",0.82038,would walk and not be weary run and not faint,And shall run and not be weary and shall walk and not faint
Doctrine and Covenants 1:13,"February 26, 1879 ",0.82022,for his anger is kindled and the slain of the,And the anger of the Lord is kindled and his
Doctrine and Covenants 135:6,"October 7, 1867 ",0.82014,the Bible Book of Mormon and Doctrine and Covenants and,Book of Mormon and this book of Doctrine and Covenants
Doctrine and Covenants 138:48,"January 13, 1856 ",0.81904,work be done it will be done in Temples in,Foreshadowing the great work to be done in the temples
Doctrine and Covenants 56:11,"August 27, 1885 ",0.81772,Earth Pass away my words shall not pass away but,And though the heaven and the earth pass away these words shall not pass away but shall be fulfilled
Doctrine and Covenants 113:6,"August 23, 1844 ",0.8117,the Holy Priesthood and the [] [keys] of the kingdom,the priesthood and the keys of the kingdom for an
Doctrine and Covenants 136:37,"January 21, 1847 ",0.8115,given you from the days of Abraham Adam to Abraham,days of Adam to Abraham from Abraham to Moses from
Doctrine and Covenants 49:24,"October 21, 1855 ",0.8107,things Jacob shall flourish in the wilderness the Lamanites shall,Jacob shall flourish in the wilderness and the Lamanites shall blossom as the rose
Doctrine and Covenants 33:16,"December 31, 1858 ",0.80796,Holy scriptures and the Book of Mormon the fullness of,And the Book of Mormon and the holy scriptures are
Doctrine and Covenants 124:32,"December 19, 1841 ",0.8078,shall be rejected as a Church with your dead saith,the appointment ye shall be rejected as a church with your dead saith the Lord your God
Doctrine and Covenants 2:2,"March 10, 1844 ",0.80767,turn the hearts of the Fathers to the children and,the promises made to the fathers and the hearts of the children shall turn to their fathers
Doctrine and Covenants 2:2,"January 21, 1844 ",0.80767,turn the hearts of the fathers to the children and,the promises made to the fathers and the hearts of the children shall turn to their fathers
Doctrine and Covenants 113:6,"July 25, 1845 ",0.80736,of the Holy Priesthood and the keys of the Kingdom,the priesthood and the keys of the kingdom for an
Doctrine and Covenants 110:15,"March 10, 1844 ",0.80678,hearts of the Fathers to the Children and the hearts,To turn the hearts of the fathers to the children
Doctrine and Covenants 27:9,"March 10, 1844 ",0.80504,fathers unto the Children and the hearts of the children,to the children and the hearts of the children to
Doctrine and Covenants 55:1,"April 6, 1837 ",0.80437,the laying on of hands for the reception of the,and a reception of the Holy Spirit by the laying on of hands
Doctrine and Covenants 124:142,"September 22, 1860 ",0.80374,Stake Also Joseph Young and 4 of his counselors Meeting,his counselors and also the president of the stake and his counselors
Doctrine and Covenants 55:2,"March 10, 1844 ",0.80341,preach repentance and Baptism for the remission of sins and,this church to preach repentance and remission of sins by
Doctrine and Covenants 55:2,"July 2, 1840 ",0.80269,Preach the Baptism of repentance for remission of Sins and,this church to preach repentance and remission of sins by
Doctrine and Covenants 120:1,"July 2, 1895 ",0.80039,here Office of The First Presidency of the Church of,of the First Presidency of my Church and of the
Doctrine and Covenants 136:30,"January 21, 1847 ",0.80003,are in mine hands and I will do my pleasure with them My people must be tried in all things,Fear not thine enemies for they are in mine hands and I will do my pleasure with them My people must be tried in all things that they
Doctrine and Covenants 136:3,"January 21, 1847 ",0.7999,Captains of Hundreds Captains of Fifties and Captains of Tens,of fifties and captains of tens with a president and
Doctrine and Covenants 68:25,"December 31, 1840 ",0.79936,the gift of the Holy Ghost ^and power^ of the,and the gift of the Holy Ghost by the laying
Doctrine and Covenants 82:8,"July 9, 1884 ",0.79916,unto you And what I the Lord say unto you,And again I say unto you I give unto you
Doctrine and Covenants 124:141,"July 9, 1884 ",0.79916,unto you And what I the Lord say unto you,And again I say unto you I give unto you
Doctrine and Covenants 38:40,"July 9, 1884 ",0.79916,unto you And what I the Lord say unto you,And again I say unto you I give unto you
Doctrine and Covenants 124:137,"July 9, 1884 ",0.79916,unto you And what I the Lord say unto you,And again I say unto you I give unto you
Doctrine and Covenants 86:10,"January 1, 1853 ",0.79881,the mouths of his Holy Prophets since the world began,of all things spoken by the mouths of all the holy prophets since the world began
Doctrine and Covenants 20:77,"August 24, 1844 ",0.79839,And we ask God the Eternal Father in the name,O God the Eternal Father we ask thee in the
Doctrine and Covenants 20:79,"August 24, 1844 ",0.79839,And we ask God the Eternal Father in the name,O God the Eternal Father we ask thee in the
Doctrine and Covenants 136:38,"January 21, 1847 ",0.79779,lay and was faithful and I took him to myself,Which foundation he did lay and was faithful and I took him to myself
Doctrine and Covenants 49:23,"October 21, 1855 ",0.79607,Earth but look forth for the Heavens to be shaken,for the heavens to be shaken and the earth to
Doctrine and Covenants 76:112,"October 20, 1855 ",0.79542,dwell they cannot come worlds without End but those who,where God and Christ dwell they cannot come worlds without end
Doctrine and Covenants 20:68,"July 1, 1838 ",0.79536,confirmed them by the laying on of hands at my,being confirmed by the laying on of the hands of
Doctrine and Covenants 111:7,"November 16, 1838 ",0.79412,tarry in Kirtland or in the regions round about until,Tarry in this place and in the regions round about
Doctrine and Covenants 121:36,"April 30, 1897 ",0.79407,the Priesthood are inseparably connected with the Heavens and the,That the rights of the priesthood are inseparably connected with
Doctrine and Covenants 44:1,"October 6, 1891 ",0.79406,Thus Saith the Lord unto my Servants the Presidency of,Behold thus saith the Lord unto you my servants it
Doctrine and Covenants 135:6,"January 21, 1867 ",0.7924,Book of Mormon and Doctrine and Covenants have taught from,Book of Mormon and this book of Doctrine and Covenants
Doctrine and Covenants 49:25,"October 21, 1855 ",0.79213,the children of men Zion shall flourish upon the Hills,Zion shall flourish upon the hills and rejoice upon the
Doctrine and Covenants 87:3,"April 30, 1861 ",0.79179,States and the Northern States against the Southern States and,Northern States and the Southern States will call on other
Doctrine and Covenants 136:21,"January 21, 1847 ",0.79138,the God of your Fathers the God of Abraham and,even the God of your fathers the God of Abraham and of Isaac and of Jacob
Doctrine and Covenants 1:38,"February 26, 1879 ",0.7913,I have spoken I have spoken and I excuse not,What I the Lord have spoken I have spoken and
Doctrine and Covenants 68:19,"December 31, 1860 ",0.79092,the Twelve He can officiate in all the lesser offices,authority to officiate in all the lesser offices he may
Doctrine and Covenants 107:17,"December 31, 1860 ",0.79092,the Twelve He can officiate in all the lesser offices,authority to officiate in all the lesser offices he may
Doctrine and Covenants 128:21,"January 1, 1872 ",0.78969,of the Church of Jesus Christ of Latterday Saints to,tribulations of this Church of Jesus Christ of Latterday Saints!
Doctrine and Covenants 88:49,"July 2, 1840 ",0.78902,The light shineth in darkness and and again the third,The light shineth in darkness and the darkness comprehendeth it
Doctrine and Covenants 76:14,"December 13, 1838 ",0.78895,gospel of Jesus Christ or the fulness of it and,bear is the fulness of the gospel of Jesus Christ
Doctrine and Covenants 107:36,"December 31, 1860 ",0.78859,are Equal in authority to the Quorum of the Twelve,a quorum equal in authority in the affairs of the
Doctrine and Covenants 95:12,"April 11, 1852 ",0.78804,love me they will keep my commandments if you want,If you keep not my commandments the love of the
Doctrine and Covenants 138:53,"December 31, 1844 ",0.7877,with Joseph Smith Jr and Hyrum Smith the prophet and,The Prophet Joseph Smith and my father Hyrum Smith Brigham
Doctrine and Covenants 128:21,"October 6, 1868 ",0.78744,of the Church of Jesus Christ of Latterday Saints in,tribulations of this Church of Jesus Christ of Latterday Saints!
Doctrine and Covenants 68:25,"April 30, 1843 ",0.78687,of the gift of the Holy Ghost and in no,and the gift of the Holy Ghost by the laying
Doctrine and Covenants 127:12,"January 1, 1872 ",0.7863,of the Church of Jesus Christ of Latterday Saints to,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 98:16,"January 21, 1844 ",0.786,the hearts of the children to their fathers lest I,turn the hearts of the children to their fathers and the hearts of the fathers to the children
Doctrine and Covenants 136:20,"January 21, 1847 ",0.78598,seek ye and keep all your pledges one with another,Seek ye and keep all your pledges one with another and covet not that which is thy brother's
Doctrine and Covenants 132:46,"March 17, 1857 ",0.78594,seal on Earth shall be sealed in heaven and what,seal on earth shall be sealed in heaven and whatsoever
Doctrine and Covenants 136:32,"January 21, 1847 ",0.78586,his ears opened that he may hear for my spirit,may be opened that he may see and his ears opened that he may hear
Doctrine and Covenants 71:1,"October 6, 1891 ",0.78552,Thus Saith the Lord unto my Servants the Presidency of,Behold thus saith the Lord unto you my servants Joseph
Doctrine and Covenants 10:69,"March 5, 1881 ",0.7852,laws And the Gates of Hell shall not prevail against,upon my rock and the gates of hell shall not prevail against them
Doctrine and Covenants 68:7,"April 30, 1884 ",0.78507,word of the Lord unto you And the Lord will,This is the word of the Lord unto you my
