verse_title,date,score,matches_woodruff,matches_scriptures
Doctrine and Covenants 112:30,"January 13, 1881 ",0.73347,concerning the great last dispensation of the fulness of times,the last days and for the last time in the which is the dispensation of the fulness of times
Doctrine and Covenants 124:22,"December 19, 1841 ",0.7331,his servant Joseph Smith Jr let my servant Brigham Young,Let my servant George and my servant Lyman and my
Doctrine and Covenants 93:3,"July 28, 1860 ",0.73297,Father and the Father in me Now I do not,And that I am in the Father and the Father in me and the Father and I are one
Doctrine and Covenants 93:29,"January 23, 1848 ",0.73175,not created neither indeed can be and were from all,the light of truth was not created or made neither indeed can be
Doctrine and Covenants 128:21,"April 30, 1837 ",0.73084,members of the Church of Jesus Christ of Latterday Saints,tribulations of this Church of Jesus Christ of Latterday Saints!
Doctrine and Covenants 43:25,"January 20, 1872 ",0.7301,of God it was not by the ministering of angels,of my servants and by the ministering of angels and
Doctrine and Covenants 38:12,"February 26, 1879 ",0.72983,the Angels are waiting the Great command to go forth,and the angels are waiting the great command to reap
Doctrine and Covenants 68:6,"April 2, 1886 ",0.72964,the Name of Jesus Christ the Son of the Living God,Christ that I am the Son of the living God
Doctrine and Covenants 76:10,"December 31, 1840 ",0.72941,eye had not seen nor the ear heard nor the,seen nor ear heard nor yet entered into the heart of man
Doctrine and Covenants 121:35,"March 7, 1897 ",0.72936,this world who aspire to the honors of men and,of this world and aspire to the honors of men that they do not learn this one lesson
Doctrine and Covenants 28:15,"April 15, 1837 ",0.72928,of Ephraim^ thou shalt have a celestial crown Thou shalt,shalt go until the time thou shalt return what thou shalt do
Doctrine and Covenants 135:3,"December 31, 1860 ",0.729,of God Joseph Smith Jr was a Prophet Seer and,Joseph Smith the Prophet and Seer of the Lord has
Doctrine and Covenants 127:12,"June 24, 1868 ",0.72894,the Church of Jesus Christ of Latterday Saints The Presidency,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 14:9,"January 1, 1877 ",0.72864,of Jesus Christ the son of the living God that,Behold I am Jesus Christ the Son of the living
Doctrine and Covenants 136:5,"January 21, 1847 ",0.72848,all the Teams waggons provisions clothing and other necessaries for,provisions clothing and other necessaries for the journey that they can
Doctrine and Covenants 49:14,"April 30, 1843 ",0.72842,gift of the Holy Ghost by the laying on of,Holy Ghost by the laying on of the hands of the elders of the church
Doctrine and Covenants 127:12,"April 30, 1837 ",0.72771,members of the Church of Jesus Christ of Latterday Saints,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 124:38,"August 8, 1844 ",0.72759,build the house we will go into the wilderness and,in the wilderness and to build a house in the
Doctrine and Covenants 136:3,"January 21, 1847 ",0.72738,Captains of Hundreds Captains of Fifties and Captains of Tens,Let the companies be organized with captains of hundreds captains
Doctrine and Covenants 45:67,"January 10, 1841 ",0.72728,and to thee O Lord shall be all the glory,And the glory of the Lord shall be there and
Doctrine and Covenants 1:35,"January 23, 1865 ",0.72717,Lord is no respecter of Persons God will bless and,For I am no respecter of persons and will that
Doctrine and Covenants 68:7,"December 20, 1891 ",0.72703,the Temple is the word of the Lord unto us,This is the word of the Lord unto you my
Doctrine and Covenants 20:35,"October 7, 1856 ",0.72695,power of God and the gift of the Holy Ghost,gift and power of the Holy Ghost the voice of God or the ministering of angels
Doctrine and Covenants 20:35,"January 1, 1861 ",0.72695,power of God and the Gift of the Holy Ghost,gift and power of the Holy Ghost the voice of God or the ministering of angels
Doctrine and Covenants 136:37,"January 21, 1847 ",0.72677,Apostles and from Jesus and his Apostles to Joseph Smith,Moses to Jesus and his apostles and from Jesus and
Doctrine and Covenants 106:3,"October 6, 1862 ",0.72594,the Kingdom of Heaven and all things necessary will be,kingdom of heaven and its righteousness and all things necessary
Doctrine and Covenants 101:23,"October 9, 1875 ",0.72563,and prepare for that which is to come It is,And prepare for the revelation which is to come when
Doctrine and Covenants 133:56,"October 21, 1855 ",0.72551,graves of the saints will be opened and they will,And the graves of the saints shall be opened and
Doctrine and Covenants 124:129,"September 9, 1847 ",0.725,Orson Pratt Heber Chase Kimball and Brigham Young O Pratt,They are Heber C Kimball Parley P Pratt Orson Pratt
Doctrine and Covenants 138:53,"June 22, 1845 ",0.72488,the Prophet and Patriarch Joseph Smith Jr and Hyrum Smith,The Prophet Joseph Smith and my father Hyrum Smith Brigham
Doctrine and Covenants 98:13,"April 19, 1893 ",0.7245,he that layeth down his life for my sake shall,And whoso layeth down his life in my cause for my name's sake shall find it again even life eternal
Doctrine and Covenants 135:6,"August 27, 1843 ",0.72413,the Book of the Book of Mormon and that Joseph,Book of Mormon and this book of Doctrine and Covenants
Doctrine and Covenants 124:118,"October 6, 1891 ",0.72412,Saints will hearken unto my voice and the counsel of,And hearken unto the counsel of my servants Joseph and
Doctrine and Covenants 136:32,"January 21, 1847 ",0.72375,my Kingdom Let him that is ignorant learn wisdom by,Let him that is ignorant learn wisdom by humbling himself
Doctrine and Covenants 82:11,"October 1, 1888 ",0.72348,the hands of David Whitmer and Oliver Cowdery He was,and John Whitmer and Oliver Cowdery and W W Phelps
Doctrine and Covenants 128:21,"June 24, 1868 ",0.72328,the Church of Jesus Christ of Latterday Saints The Presidency,tribulations of this Church of Jesus Christ of Latterday Saints!
Doctrine and Covenants 136:15,"April 16, 1847 ",0.7229,4 Captains of fifties and Captains of tens I was,And appoint presidents and captains of hundreds and of fifties and of tens
Doctrine and Covenants 68:25,"April 2, 1886 ",0.72279,the Name of Jesus Christ the Son of the Living God,Christ the Son of the living God and of baptism
Doctrine and Covenants 99:1,"July 5, 1884 ",0.72248,Jan 1880 Thus saith the Lord unto my servant Wilford,Behold thus saith the Lord unto my servant John Murdockthou
Doctrine and Covenants 20:27,"June 28, 1835 ",0.7223,should be chosen by the gifts of God and callings,believe in the gifts and callings of God by the
Doctrine and Covenants 128:8,"February 12, 1862 ",0.72204,and what you record on Earth shall be recorded in,not record on earth shall not be recorded in heaven
Doctrine and Covenants 10:69,"January 22, 1843 ",0.72189,of hell shall not prevail against it what rock Revelation,upon my rock and the gates of hell shall not prevail against them
Doctrine and Covenants 84:74,"January 22, 1843 ",0.72133,the remission of sins But I say in the name,my name for the remission of their sins that they
Doctrine and Covenants 78:7,"October 9, 1851 ",0.72127,not wisdom to give it unto you but if you,For if you will that I give unto you a
Doctrine and Covenants 27:9,"August 11, 1847 ",0.72126,the fathers to the children and the children to their,to the children and the hearts of the children to
Doctrine and Covenants 105:23,"June 2, 1892 ",0.72126,have not revealed to any man which I shall reveal,me and reveal not the things which I have revealed
Doctrine and Covenants 128:18,"February 12, 1862 ",0.72122,God in this great and last dispensation of the fulness,the ushering in of the dispensation of the fulness of
Doctrine and Covenants 2:2,"January 13, 1856 ",0.72122,"Lord"" ""And He shall turn the Hearts of the Fathers",the promises made to the fathers and the hearts of the children shall turn to their fathers
Doctrine and Covenants 90:13,"January 17, 1840 ",0.72017,England to preside over the affairs of the Church in,you shall from thenceforth preside over the affairs of the church and the school
Doctrine and Covenants 68:25,"April 30, 1843 ",0.71979,gift of the Holy Ghost Cornelius received the Holy Ghost,and the gift of the Holy Ghost by the laying
Doctrine and Covenants 118:6,"December 19, 1841 ",0.71954,his servant Joseph Smith Jr let my servant Brigham Young,Let my servant John Taylor and also my servant John
Doctrine and Covenants 115:3,"January 1, 1872 ",0.71929,of the Church of Jesus Christ of Latterday Saints to,of my Church of Jesus Christ of Latterday Saints scattered abroad in all the world
Doctrine and Covenants 21:1,"July 1, 1866 ",0.71915,to be An Apostle in the Church of Jesus Christ,a prophet an apostle of Jesus Christ an elder of
Doctrine and Covenants 135:1,"June 22, 1845 ",0.71896,the Prophet and Patriarch Joseph Smith Jr and Hyrum Smith,Prophet and Hyrum Smith the Patriarch They were shot in
Doctrine and Covenants 1:30,"October 9, 1851 ",0.71846,to lay the foundation of this church lay their bodies,have power to lay the foundation of this church and
Doctrine and Covenants 124:125,"October 2, 1856 ",0.71779,be Prophet seer and Revelator in the Church and kingdom,presiding elder over all my church to be a translator a revelator a seer and prophet
Doctrine and Covenants 18:32,"October 9, 1856 ",0.71778,full of the Holy Ghost and power of God the,to the power of the Holy Ghost which is in
Doctrine and Covenants 45:30,"September 10, 1843 ",0.71771,the gentiles until the times of the gentiles be fulfilled,And in that generation shall the times of the Gentiles be fulfilled
Doctrine and Covenants 21:1,"January 1, 1872 ",0.7176,the Name of Jesus Christ as An Apostle of the,a prophet an apostle of Jesus Christ an elder of
Doctrine and Covenants 45:42,"March 10, 1844 ",0.71756,day of the Lord come and He shall turn the,And before the day of the Lord shall come the
Doctrine and Covenants 59:15,"April 27, 1847 ",0.7172,glad Heart and cheerful countenance and a smile upon the,is sin but with a glad heart and a cheerful countenance
Doctrine and Covenants 76:1,"September 7, 1851 ",0.7167,the Earth Hear it O ye Heavens O ye Earth,Hear O ye heavens and give ear O earth and
Doctrine and Covenants 43:26,"July 5, 1884 ",0.71645,and the wrath of mine indignation is full I have,Behold the day has come when the cup of the wrath of mine indignation is full
Doctrine and Covenants 135:3,"September 10, 1843 ",0.71576,moved upon by the power of God and the gift,by the gift and power of God and has been
Doctrine and Covenants 66:1,"July 5, 1884 ",0.71574,Jan 1880 Thus saith the Lord unto my servant Wilford,Behold thus saith the Lord unto my servant William E
Doctrine and Covenants 112:11,"October 6, 1891 ",0.71547,I the Lord have heard thy prayers and thy request,I know thy heart and have heard thy prayers concerning
Doctrine and Covenants 5:2,"July 9, 1884 ",0.71546,unto you And what I the Lord say unto you,spake unto you said unto you I the Lord am
Doctrine and Covenants 112:29,"September 7, 1851 ",0.71544,great a Prophet and he that believeth it may be saved and he that believeth it not will be damned,And he that believeth and is baptized shall be saved
Doctrine and Covenants 76:14,"June 13, 1838 ",0.71532,fulness of the gospel of Jesus Christ me thinks the,bear is the fulness of the gospel of Jesus Christ
Doctrine and Covenants 63:53,"December 31, 1867 ",0.71523,of the Second Coming of the Son of Man are,even in the day of the coming of the Son of Man
Doctrine and Covenants 6:14,"August 28, 1846 ",0.71518,Son thou hast spoken well I have all thou hast,what thou hast done for thou hast inquired of me
Doctrine and Covenants 112:29,"September 7, 1851 ",0.71493,great a Prophet and he that believeth it may be saved and he that believeth it not will be damned,and he that believeth not and is not baptized shall be damned
Doctrine and Covenants 49:14,"July 2, 1840 ",0.71479,the gift of the Holy Ghost by the laying on,Holy Ghost by the laying on of the hands of the elders of the church
Doctrine and Covenants 20:68,"September 29, 1837 ",0.71444,of the Lord by the laying on of hands We,being confirmed by the laying on of the hands of
Doctrine and Covenants 138:53,"June 24, 1866 ",0.71374,Uncle Joseph Smith Jr the Prophet and his Father Hyrum,The Prophet Joseph Smith and my father Hyrum Smith Brigham
Doctrine and Covenants 101:17,"December 31, 1884 ",0.71362,shall not be moved out of her Place Zion shall,Zion shall not be moved out of her place notwithstanding her children are scattered
Doctrine and Covenants 89:1,"April 19, 1869 ",0.71298,keep the Word of Wisdom I have laid the Benefit,A Word of Wisdom for the benefit of the council
Doctrine and Covenants 20:79,"February 20, 1881 ",0.71281,ask God the Eternal Father in the name of Jesus,O God the Eternal Father we ask thee in the
Doctrine and Covenants 20:77,"February 20, 1881 ",0.71281,ask God the Eternal Father in the name of Jesus,O God the Eternal Father we ask thee in the
Doctrine and Covenants 128:18,"January 13, 1881 ",0.71241,concerning the great last dispensation of the fulness of times,the ushering in of the dispensation of the fulness of
Doctrine and Covenants 76:34,"October 20, 1855 ",0.71229,sin and there is no forgiveness in this world nor,Concerning whom I have said there is no forgiveness in this world nor in the world to come
Doctrine and Covenants 84:115,"November 10, 1872 ",0.71186,their house should be left unto them Desolate and this,their judgment is nigh and their house shall be left unto them desolate
Doctrine and Covenants 98:16,"January 13, 1856 ",0.71183,"Lord"" ""And He shall turn the Hearts of the Fathers",turn the hearts of the children to their fathers and the hearts of the fathers to the children
Doctrine and Covenants 133:31,"January 1, 1877 ",0.71176,Everlasting hills tremble at their Presence and their Enemies become,And the boundaries of the everlasting hills shall tremble at their presence
Doctrine and Covenants 124:129,"July 19, 1839 ",0.71167,and also Orson Pratt and Heber Chase Kimball Br Parley,They are Heber C Kimball Parley P Pratt Orson Pratt
Doctrine and Covenants 70:4,"January 1, 1858 ",0.71158,you into Judgment and He will require the stewardship at,And an account of this stewardship will I require of them in the day of judgment
Doctrine and Covenants 109:9,"April 7, 1844 ",0.71139,name of the Lord that you may wait for your,Lord that your outgoings may be in the name of
Doctrine and Covenants 88:120,"April 7, 1844 ",0.71139,name of the Lord that you may wait for your,Lord that your outgoings may be in the name of
Doctrine and Covenants 18:32,"December 31, 1840 ",0.71106,the gift of the Holy Ghost ^and power^ of the,to the power of the Holy Ghost which is in
Doctrine and Covenants 138:53,"December 31, 1872 ",0.7107,Joseph Smith Jr the Prophet 5 to Hyrum Smith Patriarch,The Prophet Joseph Smith and my father Hyrum Smith Brigham
Doctrine and Covenants 135:6,"August 27, 1843 ",0.7105,the Book of Mormon covenants and a prophet of God,Book of Mormon and this book of Doctrine and Covenants
Doctrine and Covenants 128:18,"April 7, 1844 ",0.7104,cannot be made perfect without us for it is necessary,the dead For we without them cannot be made perfect
Doctrine and Covenants 104:77,"August 27, 1843 ",0.71016,another should be appointed in his stead to preside in,of his place and another shall be appointed in his stead
Doctrine and Covenants 68:11,"July 31, 1849 ",0.71009,gospel and spoke of the signs of the times I,signs of the times and the signs of the coming of the Son of Man
Doctrine and Covenants 135:1,"December 31, 1857 ",0.71001,Prophet 5 to Hyrum Smith the Patriarch 4 to Father,Prophet and Hyrum Smith the Patriarch They were shot in
Doctrine and Covenants 135:1,"February 7, 1885 ",0.71001,Prophet 5 to Hyrum Smith the Patriarch 4 to Father,Prophet and Hyrum Smith the Patriarch They were shot in
Doctrine and Covenants 135:6,"April 6, 1898 ",0.70975,section of the Book of Doctrine and Covenants I then,Book of Mormon and this book of Doctrine and Covenants
Doctrine and Covenants 88:2,"July 13, 1840 ",0.70938,Orphan assend into the ears of the Lord of Sabaoth,up into the ears of the Lord of Sabaoth and
Doctrine and Covenants 68:11,"June 24, 1894 ",0.70922,the work of God and signs of the Times In,signs of the times and the signs of the coming of the Son of Man
Doctrine and Covenants 98:2,"July 13, 1840 ",0.7088,Orphan assend into the ears of the Lord of Sabaoth,into the ears of the Lord of Sabaoth and are
Doctrine and Covenants 135:3,"April 22, 1838 ",0.70869,them of the fulness of the everlasting gospel that God,the fulness of the everlasting gospel which it contained to
Doctrine and Covenants 85:5,"October 20, 1896 ",0.70829,up saith the Lord of hosts As I the Lord,the book of the law of God saith the Lord of Hosts
Doctrine and Covenants 33:11,"March 10, 1844 ",0.70817,be baptized for the remission of your sins but he,a remission of your sins yea be baptized even by
Doctrine and Covenants 128:18,"April 7, 1844 ",0.70813,children and our dead for the fulness of the dispensation,the ushering in of the dispensation of the fulness of
Doctrine and Covenants 133:34,"February 26, 1879 ",0.70809,with Songs of Everlasting Joy Behold this is the Blessing,Behold this is the blessing of the everlasting God upon
Doctrine and Covenants 88:92,"April 2, 1885 ",0.70797,of God and prepare ye for the coming of the,Prepare ye prepare ye O inhabitants of the earth for
Doctrine and Covenants 49:23,"October 21, 1855 ",0.70787,thes things be when the Angel shall sound his trumpet,places to become smoothand all this when the angel shall sound his trumpet
Doctrine and Covenants 128:18,"February 2, 1851 ",0.70766,Saints Neither can we be perfect without our Fathers who,neither can they without us be made perfect Neither can
Doctrine and Covenants 68:8,"February 26, 1879 ",0.70762,to all the world and Preach this gospel of the,Go ye into all the world preach the gospel to
Doctrine and Covenants 20:9,"April 2, 1885 ",0.70739,the Gospel of Jesus Christ to the Gentiles first and,fulness of the gospel of Jesus Christ to the Gentiles and to the Jews also
Doctrine and Covenants 135:3,"July 9, 1844 ",0.70692,the Death of President Joseph Smith Jr the Prophet Seer,Joseph Smith the Prophet and Seer of the Lord has
Doctrine and Covenants 128:18,"October 3, 1875 ",0.70686,dispensation and fulness of times^ and the other the President,the ushering in of the dispensation of the fulness of
Doctrine and Covenants 124:137,"August 29, 1896 ",0.7065,you have one to preside over your quorum which is,is to preside over the quorum of elders which quorum
Doctrine and Covenants 128:21,"December 31, 1872 ",0.70646,the Church of Jesus Christ of Latterday Saints I Travelled,tribulations of this Church of Jesus Christ of Latterday Saints!
Doctrine and Covenants 136:40,"January 21, 1847 ",0.70634,only in that I have left a witness of my,Have I not delivered you from your enemies only in that I have left a witness of my name
Doctrine and Covenants 118:5,"September 25, 1840 ",0.70627,about to take my leave of the saints in that,Let them take leave of my saints in the city
Doctrine and Covenants 18:32,"April 30, 1860 ",0.7061,the Holy Ghost and the power of God when you,to the power of the Holy Ghost which is in
Doctrine and Covenants 120:1,"August 16, 1890 ",0.7061,Prayer then all the first Presidency of the Church and,of the First Presidency of my Church and of the
Doctrine and Covenants 115:3,"June 21, 1863 ",0.70596,of the Church of Jesus Christ of Latterday Saints He,of my Church of Jesus Christ of Latterday Saints scattered abroad in all the world
Doctrine and Covenants 107:63,"January 30, 1887 ",0.70595,1 Priest 1 Teacher and 1 Deacon I Administered to,Wherefore from deacon to teacher and from teacher to priest
Doctrine and Covenants 20:1,"September 5, 1841 ",0.70591,one thousand eight hundred and thirty and has been ordained,days being one thousand eight hundred and thirty years since
Doctrine and Covenants 20:16,"January 1, 1858 ",0.7059,pass for the Lord God has spoken it Then prepare,For the Lord God has spoken it and we the
Doctrine and Covenants 42:45,"April 15, 1837 ",0.7054,of Ephraim^ thou shalt have a celestial crown Thou shalt,Thou shalt live together in love insomuch that thou shalt
Doctrine and Covenants 87:7,"January 1, 1877 ",0.70528,into the Ears of the Lord of Sabaoth and be,ears of the Lord of Sabaoth from the earth to be avenged of their enemies
Doctrine and Covenants 33:1,"September 9, 1860 ",0.70508,and marrow 9 ^1860^ and thoughts and intents of the,the joints and marrow soul and spirit and is a discerner of the thoughts and intents of the heart
Doctrine and Covenants 125:2,"August 27, 1885 ",0.7049,be prepared for that which is to come As I,name that they may be prepared for that which is in store for a time to come
Doctrine and Covenants 102:31,"September 6, 1847 ",0.70457,be an appeal from there decision to the majority of,From the decision of the former there can be an appeal but from the decision of the latter there cannot
Doctrine and Covenants 135:1,"December 31, 1872 ",0.70456,Joseph Smith Jr the Prophet 5 to Hyrum Smith Patriarch,Prophet and Hyrum Smith the Patriarch They were shot in
Doctrine and Covenants 63:53,"January 1, 1853 ",0.70454,coming of the son of man He said the Twelve,even in the day of the coming of the Son of Man
Doctrine and Covenants 84:95,"March 14, 1885 ",0.704,wicked And I say again wo unto that Nation or,Wo I say again unto that house or that village
Doctrine and Covenants 127:12,"December 31, 1872 ",0.70396,the Church of Jesus Christ of Latterday Saints I Travelled,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 20:35,"December 31, 1840 ",0.70383,the gift of the Holy Ghost ^and power^ of the,gift and power of the Holy Ghost the voice of God or the ministering of angels
Doctrine and Covenants 10:21,"January 20, 1872 ",0.70342,men love darkness rather than light because their deeds are,abominations and they love darkness rather than light because their deeds are evil therefore they will not ask of me
Doctrine and Covenants 136:2,"December 5, 1847 ",0.70282,be the President of the Church of Jesus Christ of,Let all the people of The Church of Jesus Christ
Doctrine and Covenants 128:15,"April 9, 1852 ",0.70258,they without us could not be made perfect Neither can,fathersthat they without us cannot be made perfectneither can we without our dead be made perfect
Doctrine and Covenants 128:15,"April 7, 1844 ",0.70224,cannot be made perfect without us for it is necessary,fathersthat they without us cannot be made perfectneither can we without our dead be made perfect
Doctrine and Covenants 18:32,"August 16, 1844 ",0.70203,kingdom unto us in the power of the Holy Ghost,to the power of the Holy Ghost which is in
Doctrine and Covenants 135:3,"July 30, 1843 ",0.70168,get faith by the power of God and the gift,by the gift and power of God and has been
Doctrine and Covenants 63:53,January 19 1840 ,0.70138,the coming of the Son of Man and may thy,even in the day of the coming of the Son of Man
Doctrine and Covenants 45:20,"December 24, 1861 ",0.70133,and not one stone left upon another that the wicked,down that there shall not be left one stone upon another
Doctrine and Covenants 128:17,"March 10, 1844 ",0.70114,of the Children to the Fathers lest I come and,children and the heart of the children to their fathers lest I come and smite the earth with a curse
Doctrine and Covenants 124:91,"December 19, 1841 ",0.70112,his servant Joseph Smith Jr let my servant Brigham Young,servant Joseph in the room of my servant Hyrum that
Doctrine and Covenants 127:12,"June 24, 1845 ",0.70058,the Bishop of the Church of Jesus Christ of Latterday,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints
Doctrine and Covenants 132:19,"January 13, 1881 ",0.70048,Key and Endowment of the New and Everlasting Covenant 2,and by the new and everlasting covenant and it is
Doctrine and Covenants 76:94,"April 30, 1854 ",0.70046,they could see things as they are they would as,the Firstborn and they see as they are seen and
Doctrine and Covenants 135:3,"February 15, 1849 ",0.70035,the power of God And the gift of the Holy,by the gift and power of God and has been
Doctrine and Covenants 46:16,"January 20, 1872 ",0.7003,God to man the Holy Ghost which is given to,And again it is given by the Holy Ghost to
Doctrine and Covenants 107:7,"December 31, 1860 ",0.70009,of the Melchizedek Priesthood from an Elder to the Presidency,The office of an elder comes under the priesthood of Melchizedek
